what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1357341489367
started,bundle,org.eclipse.birt.report.data.bidi.utils,3.7.2.v20120213,"org.eclipse.birt.report.data.bidi.utils",1357341489395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357341489938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357341496675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357341498230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357341500249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357341930507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357341936276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357341952013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357341955262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357341957233
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357341957319
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1357341957475
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1357341957478
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1357341957578
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1357341957579
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1357341957579
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1357341957579
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1357341957580
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1357341957580
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1357341957581
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1357341957581
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1357341957581
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1357341957582
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1357341957583
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1357341957583
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1357341957584
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1357341957584
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1357341957584
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1357341957585
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1357341957586
activated,perspective,org.eclipse.birt.report.designer.ui.ide,,"org.eclipse.birt.report.designer.ui.ReportPerspective",1357373527179
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1357373527179
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1357373527180
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1357373527180
started,bundle,org.eclipse.birt.chart.engine,3.7.2.v20120213,"org.eclipse.birt.chart.engine",1357373527181
started,bundle,org.eclipse.birt.chart.reportitem,3.7.2.v20120213,"org.eclipse.birt.chart.reportitem",1357373527181
started,bundle,org.eclipse.birt.chart.reportitem.ui,3.7.2.v20120213,"org.eclipse.birt.chart.reportitem.ui",1357373527181
started,bundle,org.eclipse.birt.chart.ui,3.7.2.v20120213,"org.eclipse.birt.chart.ui",1357373527182
