what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1357338323045
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1357338323142
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1357338323236
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1357338323256
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1357338323319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338323355
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1357338324217
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1357338324219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338365013
started,bundle,org.eclipse.birt.report.engine.emitter.html,3.7.2.v20120213,"org.eclipse.birt.report.engine.emitter.html",1357338365417
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1357338409595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338409824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338418061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338422020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338427211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338429726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338435735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338437370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338443234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338450703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338457946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357338461554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357338464537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339848584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339851123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339861463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339871516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339894533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357339900988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339903097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339914419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339917535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339919862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339923945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339928709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339934747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339964225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357339972821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357340016590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357340024146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357340040369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357340042989
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1357340044357
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1357340047398
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1357340059986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357340067129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357340073529
