what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374192146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374194489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374198646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357374201622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374202706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374265562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374277769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374282985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374287354
error,log,,,"A BIRT exception occurred.",1357374320065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374320083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374320116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374323710
error,log,,,"A BIRT exception occurred.",1357374323726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374326158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374342941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357374347469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374348755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374390903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374393508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374437028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374442869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374449597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374451137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374457197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374459712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374463789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374465437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374472823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357374475897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374477185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374478978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374479734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374482373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374491758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374572866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374577999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374613003
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1357374618346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374646838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374673780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374675564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374718760
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1357374724659
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1357374730448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374733894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357374743006
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1357374744346
