what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1357636638600
java.specification.vendor,sysinfo,,,"Oracle Corporation",1357636638600
java.specification.version,sysinfo,,,"1.7",1357636638600
java.vendor,sysinfo,,,"Oracle Corporation",1357636638600
java.version,sysinfo,,,"1.7.0_06",1357636638600
java.vm.info,sysinfo,,,"mixed mode",1357636638600
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1357636638600
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357636638600
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1357636638600
java.vm.specification.version,sysinfo,,,"1.7",1357636638600
java.vm.vendor,sysinfo,,,"Oracle Corporation",1357636638600
java.vm.version,sysinfo,,,"23.2-b09",1357636638600
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1357636643001
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1357636649882
closed,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1357636649882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636655292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636680913
opened,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1357636681110
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1357636681262
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1357636681340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636698372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357636704288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636705779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636713294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357636717926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636719127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636739094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636754731
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1357636762251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357636767274
started,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.2.6.v201112151316,"org.eclipse.datatools.connectivity.oda.design.ui",1357636775337
started,bundle,org.eclipse.datatools.connectivity.oda.design,3.3.4.v201109211529,"org.eclipse.datatools.connectivity.oda.design",1357636775338
started,bundle,org.eclipse.birt.report.model.adapter.oda,3.7.2.v20120213,"org.eclipse.birt.report.model.adapter.oda",1357636775351
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1357636775393
started,bundle,org.eclipse.datatools.connectivity.oda.consumer,3.2.5.v201109151100,"org.eclipse.datatools.connectivity.oda.consumer",1357636775554
started,bundle,org.eclipse.birt.report.data.oda.jdbc,3.7.2.v20120213,"org.eclipse.birt.report.data.oda.jdbc",1357636775556
started,bundle,org.eclipse.birt.report.data.oda.jdbc.ui,3.7.2.v20120213,"org.eclipse.birt.report.data.oda.jdbc.ui",1357636775595
started,bundle,org.eclipse.birt.core.script.function,3.7.2.v20120213,"org.eclipse.birt.core.script.function",1357636775633
started,bundle,org.eclipse.birt.report.engine.script.javascript,3.7.2.v20120213,"org.eclipse.birt.report.engine.script.javascript",1357636775665
started,bundle,org.eclipse.birt.data.aggregation,3.7.2.v20120213,"org.eclipse.birt.data.aggregation",1357636775853
started,bundle,org.eclipse.datatools.connectivity.oda.profile,3.2.7.v201112290953,"org.eclipse.datatools.connectivity.oda.profile",1357636775910
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1357636775914
started,bundle,org.eclipse.birt.report.data.bidi.utils,3.7.2.v20120213,"org.eclipse.birt.report.data.bidi.utils",1357636775943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636776278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636786636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636790374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636795106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357636799830
